DrugName	DrugBank	SMILES
lansoprazole	DB00448	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
calcium glubionate	DB13142	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.O.[Ca+2]
phenylephrine	DB00388	CNC[C@@H](C1=CC(=CC=C1)O)O
orlistat	DB01083	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
disulfiram	DB00822	CCN(CC)C(=S)SSC(=S)N(CC)CC
acenocoumarol	DB01418	CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
hydroxyurea	DB01005	C(=O)(N)NO
acetylsalicylic acid	DB00945	CC(=O)OC1=CC=CC=C1C(=O)O
oxcarbazepine	DB00776	C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
budesonide	DB01222	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
cholestyramine	DB01432	CCC1=CC=C(C=C1)C(C)CCC2=CC=C(C=C2)[N+](C)(C)C
cabergoline	DB00248	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
alfuzosin	DB00346	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
lofepramine	DB13411	CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl
leucovorin	DB00650	C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
terbutaline	DB00871	CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
duloxetine	DB00476	CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
oxytetracycline	DB00595	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
lamivudine	DB00709	C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N
glyburide	DB01016	COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
olmesartan	DB00275	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
clioquinol	DB04815	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
clobetasone	DB13158	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3(C(=O)C[C@@]2([C@]1(C(=O)CCl)O)C)F)C
mesalazine	DB00244	C1=CC(=C(C=C1N)C(=O)O)O
propafenone	DB01182	CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
prochlorperazine	DB00433	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
disopyramide	DB00280	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
rimexolone	DB00896	CCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C)C
penicillamine	DB00859	CC(C)([C@H](C(=O)O)N)S
ofloxacin	DB01165	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
apraclonidine	DB00964	C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
enalapril	DB00584	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O
tolfenamic acid	DB09216	CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O
rivastigmine	DB00989	CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
acrivastine	DB09488	CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O
efavirenz	DB00625	C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
phenelzine	DB00780	C1=CC=C(C=C1)CCNN
aripiprazole	DB01238	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
sodium bicarbonate	DB01390	C(=O)(O)[O-].[Na+]
olanzapine	DB00334	CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
cilazapril	DB01340	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(=O)O
amoxicillin	DB01060	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
meptazinol hydrochloride	DB13478	CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O.Cl
torasemide	DB00214	CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
amiodarone	DB01118	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
flurbiprofen	DB00712	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
azathioprine	DB00993	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
irbesartan	DB01029	CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
fluoxetine	DB00472	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
clodronic acid	DB00720	C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl
megestrol acetate	DB00351	CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
primidone	DB00794	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
mirtazapine	DB00370	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
zuclopenthixol	DB01624	C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
nitrazepam	DB01595	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3
isoniazid	DB00951	C1=CN=CC=C1C(=O)NN
orphenadrine	DB01173	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
pindolol	DB00960	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
fluvoxamine	DB00176	COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
clemastine	DB00283	C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C
testosterone propionate	DB01420	CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
zolmitriptan	DB00315	CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3
hydrocortisone	DB00741	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
lodoxamide	DB06794	C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N
norfloxacin	DB01059	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
meloxicam	DB00814	CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
procyclidine	DB00387	C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
sulfadiazine	DB00359	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
tramadol	DB00193	CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
labetalol	DB00598	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
testosterone undecanoate	DB13946	CCCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
clobazam	DB00349	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
baclofen	DB00181	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
oxazepam	DB00842	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
chloramphenicol	DB00446	C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
dextran 70	DB09255	CC[C@@H]1C([C@@H]([C@@H](C(O1)COC[C@@H]2C([C@@H]([C@@H](C(O2)COC)O)OC)O)O)O)O
rosiglitazone	DB00412	CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
ribavirin	DB00811	C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
celiprolol	DB04846	CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
loperamide	DB00836	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
saquinavir	DB01232	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
polyethylene glycol	DB09287	C(CO)O
nicardipine	DB00622	CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
sumatriptan	DB00669	CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
rabeprazole	DB01129	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC
travoprost	DB00287	CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](COC2=CC=CC(=C2)C(F)(F)F)O)O)O
nortriptyline	DB00540	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
ibuprofen	DB01050	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
fexofenadine	DB00950	CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
apomorphine	DB00714	CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
sertraline	DB01104	CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
glimepiride	DB00222	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
oxybutynin	DB01062	CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O
nadolol	DB01203	CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O
tenofovir	DB14126	C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O
ipratropium bromide	DB00332	CC(C)[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]
latanoprost	DB00654	CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCC2=CC=CC=C2)O)O)O
carbimazole	DB00389	CCOC(=O)N1C=CN(C1=S)C
letrozole	DB01006	C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
methadone	DB00333	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
pergolide	DB01186	CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC
tramazoline	DB13064	C1CCC2=C(C1)C=CC=C2NC3=NCCN3
nedocromil	DB00716	CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O
tamoxifen	DB00675	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
amisulpride	DB06288	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
acetaminophen	DB00316	CC(=O)NC1=CC=C(C=C1)O
isometheptene	DB06706	CC(CCC=C(C)C)NC
temazepam	DB00231	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
citalopram	DB00215	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
cinnarizine	DB00568	C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
tadalafil	DB00820	CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
buspirone	DB00490	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
trospium	DB00209	C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O
cyanocobalamin	DB00115	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co]
olsalazine	DB01250	C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O
azithromycin	DB00207	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
etidronic acid	DB01077	CC(O)(P(=O)(O)O)P(=O)(O)O
cyclopentolate	DB00979	CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
lamotrigine	DB00555	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
balsalazide	DB01014	C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O
metformin	DB00331	CN(C)C(=N)N=C(N)N
bicalutamide	DB01128	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
moclobemide	DB01171	C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
salbutamol	DB01001	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
clotrimazole	DB00257	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
raloxifene	DB00481	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
zoledronic acid	DB00399	C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
chondroitin sulfate	DB09301	CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)OS(=O)(=O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
nystatin	DB00646	C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
pantoprazole	DB00213	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
capecitabine	DB01101	CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
xylometazoline	DB06694	CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
loratadine	DB00455	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
atenolol	DB00335	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
vardenafil	DB00862	CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
timolol	DB00373	CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
eplerenone	DB00700	C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC
mizolastine	DB12523	CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5
eprosartan	DB00876	CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O
propylthiouracil	DB00550	CCCC1=CC(=O)NC(=S)N1
clarithromycin	DB01211	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
finasteride	DB01216	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C
trimipramine	DB00726	CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
fludrocortisone	DB00687	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)F
ephedrine	DB01364	C[C@@H]([C@@H](C1=CC=CC=C1)O)NC
tranexamic acid	DB00302	C1CC(CCC1CN)C(=O)O
alimemazine	DB01246	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C
picosulfuric acid	DB09268	C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O
rizatriptan	DB00953	CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3
ciprofloxacin	DB00537	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
zafirlukast	DB00549	CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
levocetirizine	DB06282	C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl
metoprolol	DB00264	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
sevelamer	DB00658	C=CCN.C1C(O1)CCl
ketotifen	DB00920	CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
acetazolamide	DB00819	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
fluocinonide	DB01047	CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C
indomethacin	DB00328	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
dosulepin	DB09167	CN(C)CC/C=C\1/C2=CC=CC=C2CSC3=CC=CC=C31
pyridostigmine	DB00545	C[N+]1=CC=CC(=C1)OC(=O)N(C)C
dihydrocodeine	DB01551	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O
chlorpromazine	DB00477	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
fosinopril	DB00492	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3
light magnesium oxide	DB01377	O=[Mg]
isosorbide mononitrate	DB01020	C1[C@@H]([C@@H]2[C@H](O1)[C@@H](CO2)O[N+](=O)[O-])O
cephalexin	DB00567	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O
flunisolide	DB00180	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O
tryptophan	DB00150	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
doxazosin	DB00590	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
flavoxate	DB01148	CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
valaciclovir	DB00577	CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N
diazepam	DB00829	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
benserazide	DB12783	C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
diethylstilbestrol	DB00255	CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
dorzolamide	DB00869	CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
carboxymethylcellulose	DB11059	CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O
celecoxib	DB00482	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
betaxolol	DB00195	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
cortisone acetate	DB01380	CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
clopidogrel	DB00758	COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
rimiterol hydrobromide	DB13559	C1CCN[C@H](C1)[C@H](C2=CC(=C(C=C2)O)O)O.Br
olopatadine	DB00768	CN(C)CC/C=C\1/C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O
metolazone	DB00524	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
pipotiazine	DB01621	CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO
alginic acid	DB13518	COC1C(C(C(OC1C(=O)O)OC2C(C(C(OC2C(=O)O)OC)O)O)O)O
quetiapine	DB01224	C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
clavulanate	DB00766	C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O
alendronic acid	DB00630	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
buclizine	DB00354	CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
mercaptopurine	DB01033	C1=NC2=C(N1)C(=S)N=CN2
calcium acetate	DB00258	CC(=O)[O-].CC(=O)[O-].[Ca+2]
acarbose	DB00284	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
indapamide	DB00808	CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
sotalol	DB00489	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
pizotifen	DB06153	CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1
cetirizine	DB00341	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
ranitidine	DB00863	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
trifluoperazine	DB00831	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
mycophenolate mofetil	DB00688	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O
codeine	DB11321	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
pravastatin	DB00175	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
paroxetine	DB00715	C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
metoclopramide	DB01233	CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
salmeterol	DB00938	C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O
alprazolam	DB00404	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
entacapone	DB00494	CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N
metronidazole	DB00916	CC1=NC=C(N1CCO)[N+](=O)[O-]
vitamin d	DB11094	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
fluorometholone	DB00324	C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
doxycycline	DB00254	C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
leflunomide	DB01097	CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
ezetimibe	DB00973	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
haloperidol	DB00502	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
clonazepam	DB01068	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
amitriptyline	DB00321	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
minoxidil	DB00350	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
prednisone	DB00635	C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
losartan	DB00678	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
